Beijing Forestry University Library Computer Books Purchasing List
ISBN             Book_Title                                               Pricing
9787302257646    Programming_Basics                                       25
9787302164340    Fundamentals_of_Programming_(2nd_Edition)                20
9787302219972    Microcontroller_technology_and_application               32
9787302203513    Microcontroller_principle_and_application_technology      26
9787810827430    Industrial_computer_control_technology_-_principles_and_applications 29
9787811234923    Assembly_language_programming_tutorial                    21
9787512100831    Computer_operating_system                                17
9787302202844    Fundamentals_and_Applications_of_Computer_Operating_Systems_(Second_Edition) 30
9787302265436    Introduction_to_Computer_Experiment_Guide                18
9787302131304    Computer_Mathematics                                     20
9787302162834    Computer_Mathematics                                     30
9787302221630    Computer_Mathematics_(Second_Edition)                     25
9787811235388    Computer_Network_Basics                                  32
9787302137849    Computer_maintenance_and_repair                           26
9787302188308    Computer_system_assembly_and_maintenance                 26
9787512101517    Computer_Application_Basics_and_Information_Processing_Case_Tutorial 25
9787811239447    Computer_English                                         29
9787302257448    Computer_Hardware_and_Maintenance                         29.8
9787302125679    Computer_Professional_English                             25
9787302235682    Computer_Professional_English                             28
9787302149286    English_for_Computer_Professionals_(2nd_Edition)         25
9787302211860    Principles_of_Computer_Organization_(2nd_Edition)        29.5
9787302215530    Computer_assembly_and_maintenance                         27
9787302232629    Computer_assembly_and_maintenance                         24
9787302180630    Practical_data_structure                                 29
9787302225065    Data_structure_(C/C#_language_version)                    28
9787302135180    Data_structure                                           21
9787302228141    Data_structure                                           28
9787302163282    Data_Structure_Experiment_and_Training_Tutorial_(2nd_Edition) 23
9787302194934    Practical_Tutorial_on_Microcomputer_Principles_and_Assembly_Language 32
9787302133841    Microcomputer_principles_and_interface_technology         31
9787302223771    Microcomputer_principles_and_application_technology       29
9787302171973    Microcomputer_Principle_and_Structure_(Second_Edition)    28
9787302184898    Microcomputer_Principles_and_Structure_Exercise_Solutions_and_Experimental_Guidance 21
9787302162988    ARM9_embedded_system_design_and_development_application 35
9787302197850    ARM_architecture_and_programming                          30
9787302222705    EDA_technology_and_VerilogHDL                             38
9787302250708    ARM-based_embedded_system_interface_technology            43
9787302225515    Embedded_Linux_C_language_application_design_and_practice 36
9787302250753    Embedded_Linux_real-time_operating_system_and_application_programming 48
9787302253402    ARM9_embedded_system_design_and_application              39
9787302188667    ASP.NET&IIS7_Advanced_Programming                         79.8
9787302259596    ASP.NET_Programming_Training_Tutorial                      26
9787302195252    ASP.NET_programming_and_software_project_training        34
9787302220763    ASP.NET_practical_tutorial                                29
9787302258117    ASP.NET_website_development_case_tutorial                 36
9787302197867    ASP_case_compilation                                     25
9787302212850    ASP_language_programming                                  33
9787302198499    Authorware7.0_Practical_Tutorial                          28
9787811230710    C#_programming_tutorial_that_is_easy_to_understand_and_master 32
9787302219583    C#_Programming_and_Development                            27
9787302171676    C#_Object-oriented_Programming                             39.5
9787302266341    C#_Object-Oriented_Programming_(2nd_Edition)              58
9787302250692    C_language_programming                                    42
9787302201090    C_Language_Programming_(2nd_Edition)                       35
9787302137634    C_language_programming_basics_and_practical_training_tutorial 25
9787810824125    C_Language_Programming_Tutorial_(Revised_Edition)         22
9787302127970    C_language_programming_and_application_development        29
9787302202646    C_language_concise_tutorial                                26
9787302254454    Compilation_of_C_Language_Course_Design_Cases_(Second_Edition) 52
9787302150664    J2ME_wireless_development_training_tutorial               25
9787302176091    Java2_Programming_Basics                                  27
9787302246909    Java_Advanced_Programming                                 29
9787302260806    Java_Programming_and_Practice                             36
9787302210542    Java_Programming                                          29
9787302170037    Java_Programming_Tutorial_(2nd_Edition)                   29.5
9787302252887    Java_Programming_and_Application_Tutorial                 39
9787302129226    Java_Advanced_Programming_Practical_Tutorial              28
9787302214953    Java_application_case_tutorial                            33
9787302266211    Practical_Tutorial_on_Java_Language_Programming            39
9787302202059    Practical_Tutorial_on_JSP_Dynamic_Website_Development     35
9787302256502    MATLAB_Programming_and_Application_Basics_Tutorial         24
9787302127956    UML_Basics_and_Application_(Planning_Textbook_for_Colleges_and_Universities) 22
9787302179306    Practical_Tutorial_on_VB.NET_Programming                   31
9787302195696    VB.NET_programming_and_software_project_training          29
9787302220381    VB_Programming_Case_Collection                             22
9787302229070    VC++_Programming_Basics_Tutorial                           28
9787302214489    VC++_programming_project_practice                          26
9787302176909    VisualBasic.NET_Programming                                24
9787302172246    Practical_Tutorial_on_VisualBasic_Programming              30
